,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,257.0,17573.0,1345.0,1741.0,84870.0,20004.0,45732.0,348696.0,589.0,0.0,0.0,0.0,0.0,0.0,17573.0,65736.0,2587.0,200
mean,1.285,87.865,6.725,8.705,424.35,100.02,228.66,1743.48,2.945,0.0,0.0,0.0,0.0,0.0,87.865,328.68,12.935,200
std,4.193051802337461,166.1366718810708,10.401457909022458,13.64400120361403,285.147105647763,711.844895589541,1110.6481988044359,1029.629615602928,4.564663818825485,0.0,0.0,0.0,0.0,0.0,166.1366718810708,1331.7586731150225,20.516956463193143,200
