,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,59.0,0.0,0.0,0.0,0.0,1334.0,152.0,0.0,1414.0,0.0,16168.0,10800.0,1770.0,9561.0,0.0,0.0,0.0,0.0,51445.0,9561.0,10800.0,16168.0,3336.0,11580.0,158.666,37.069199999999995,10
mean,5.9,0.0,0.0,0.0,0.0,133.4,15.2,0.0,141.4,0.0,1616.8,1080.0,177.0,956.1,0.0,0.0,0.0,0.0,5144.5,956.1,1080.0,1616.8,333.6,1158.0,15.8666,3.7069199999999993,10
std,2.766867462592951,0.0,0.0,0.0,0.0,64.53801635900778,0.6324555320336759,0.0,65.34047580005657,0.0,2966.896275758745,1738.9652095427327,83.00602387778854,453.00710075376674,0.0,0.0,0.0,0.0,4410.87888067673,453.00710075376674,1738.9652095427327,2966.896275758745,127.3875975124737,7022.430301066243,7.916137921992012,2.1817968658882974,10
