,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,65.0,0.0,0.0,0.0,0.0,1374.0,150.0,0.0,1654.0,0.0,17075.0,10800.0,1970.0,10502.0,0.0,0.0,0.0,0.0,49454.0,10502.0,10800.0,17075.0,3774.0,7303.0,187.827,39.9492,10
mean,6.5,0.0,0.0,0.0,0.0,137.4,15.0,0.0,165.4,0.0,1707.5,1080.0,197.0,1050.2,0.0,0.0,0.0,0.0,4945.4,1050.2,1080.0,1707.5,377.4,730.3,18.7827,3.9949199999999996,10
std,3.9791121287711073,0.0,0.0,0.0,0.0,53.907740116280564,0.0,0.0,82.90851718745319,0.0,2988.09672794499,1738.9652095427327,115.97892528865367,601.3048404188271,0.0,0.0,0.0,0.0,4319.935318445816,601.3048404188271,1738.9652095427327,2988.09672794499,146.86668179754804,6905.87009643889,9.2624306631083,2.250987650787982,10
