,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,255.0,18401.0,1609.0,1980.0,79335.0,20176.0,72073.0,342711.0,643.0,0.0,0.0,0.0,0.0,0.0,18401.0,92249.0,2878.0,200
mean,1.275,92.005,8.045,9.9,396.675,100.88,360.365,1713.555,3.215,0.0,0.0,0.0,0.0,0.0,92.005,461.245,14.39,200
std,4.193722875654631,165.172104471298,11.385566769083844,14.141780289226098,295.0241781676844,710.132909635044,1393.6830212042355,1058.3824232023692,4.670959678867721,0.0,0.0,0.0,0.0,0.0,165.172104471298,1577.866951156771,20.932960713217454,200
