,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,255.0,19689.0,1575.0,2065.0,78720.0,21428.0,50451.0,342178.0,680.0,0.0,0.0,0.0,0.0,0.0,19689.0,71879.0,3000.0,200
mean,1.275,98.445,7.875,10.325,393.6,107.14,252.255,1710.89,3.4,0.0,0.0,0.0,0.0,0.0,98.445,359.395,15.0,200
std,4.193722875654631,171.4564772557888,10.941111212891693,14.266641521448122,295.94077908192725,710.9856350632773,953.4938186933528,1031.8429908122855,4.74897502826615,0.0,0.0,0.0,0.0,0.0,171.4564772557888,1198.0684701933176,21.07655345467181,200
