,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,68.0,0.0,0.0,0.0,0.0,1374.0,150.0,0.0,1535.0,0.0,17768.0,7200.0,2064.0,10460.0,0.0,0.0,0.0,0.0,58133.0,10460.0,7200.0,17768.0,3749.0,18956.0,180.769,40.8984,10
mean,6.8,0.0,0.0,0.0,0.0,137.4,15.0,0.0,153.5,0.0,1776.8,720.0,206.4,1046.0,0.0,0.0,0.0,0.0,5813.3,1046.0,720.0,1776.8,374.9,1895.6,18.076900000000002,4.089840000000001,10
std,4.802776974487434,0.0,0.0,0.0,0.0,59.09916337065281,0.0,0.0,86.95369137905787,0.0,2956.988024625359,1517.893276880822,141.59661012891513,682.3000317553366,0.0,0.0,0.0,0.0,4122.555708133811,682.3000317553366,1517.893276880822,2956.988024625359,193.31462553165616,6941.159512486209,10.67131691810653,2.2331619009825507,10
