,index,day,nP,nV,comm rate,discount,n trav,n drivers,fare,commision,revenue,income,mean wait rh,mean wait rp,mean travel rp,mean income,mean expected wait rh,mean expected wait rp,mean expected travel rp,mean expected income,mean prob rh,mean prob rs,n exp,learned rh,learned rp,learned,learned drivers,conv rp,conv rh,conv supply,shareability,n actually sharing,n shared rides,unserved,comm,shared,out,rh,rp,share out,share rh,share rp,share drivers,$c$,$p$,best_one
11,11,196.5,900,30,0.9,0.3,425.5,25.166666666666668,2195.3248333333336,289.19846666666643,1889.6786999999997,1520.2582833333336,117.05681358843214,121.10798771998368,438.33847805909363,61.08165600448934,149.55470987654323,141.43205555555554,428.45233333333334,59.3349592969065,0.16478916663717236,0.3006665231488849,900.0,873.0,885.6666666666666,882.6666666666666,0.0,0.00017008859585192906,6.500651305702058e-05,0.004181909558019001,0.06626857643834547,248.33333333333334,123.83333333333333,0.0,0.9,0.3,474.5,153.33333333333334,272.1666666666667,0.5272222222222223,0.1703703703703704,0.3024074074074074,0.8388888888888889,0.9,0.3,False
12,12,196.5,500,30,0.5,0.3,105.33333333333333,6.166666666666667,548.3179333333334,241.269,227.75316666666663,128.62316666666666,264.5068030916882,317.6614040826419,430.7939445490461,24.0555484006734,406.85971111111115,418.81611666666663,474.5167166666667,22.989327252988378,0.08094886791036077,0.13249681745604883,485.6666666666667,336.3333333333333,353.3333333333333,436.8333333333333,30.0,0.00845212186399675,0.0017396350097454334,0.0,0.03470135968544814,43.0,21.5,16.166666666666668,0.5,0.3,394.6666666666667,38.5,66.83333333333333,0.7893333333333333,0.077,0.13366666666666666,0.20555555555555557,0.5,0.3,False
13,13,196.5,700,30,0.5,0.3,154.5,7.5,790.7477666666667,370.6880333333333,355.42616666666663,196.23699999999997,299.121006768815,297.902375369303,434.1737842049609,27.82890351130351,392.6520952380952,382.4507023809524,465.05722619047623,26.34522092548013,0.07940464932307774,0.1445230838219852,689.0,480.3333333333333,537.3333333333334,609.1666666666666,28.0,0.0032097595976771833,0.0008864616172474176,0.0025283643672281333,0.026717229366318485,72.5,36.166666666666664,12.166666666666666,0.5,0.3,545.5,54.166666666666664,100.33333333333333,0.7792857142857142,0.07738095238095238,0.14333333333333334,0.25,0.5,0.3,False
14,14,196.5,900,30,0.9,0.049999999999999996,381.5,22.333333333333332,2366.265066666667,650.2215999999997,1728.6633000000002,1242.9003833333334,171.7597075067722,174.3850901888765,364.44250965196903,55.54058943903318,175.2331851851852,169.31707407407407,358.7188888888889,56.02782754960551,0.15357024625179513,0.2789858898170273,900.0,867.5,888.0,880.8333333333334,1.0,8.187751948913e-05,0.00010824047138280659,0.0094302444092148,0.0,0.0,0.0,0.0,0.9,0.049999999999999996,518.5,135.16666666666666,246.33333333333334,0.5761111111111111,0.15018518518518517,0.2737037037037037,0.7444444444444444,0.9,0.05,False
15,15,196.5,100,10,1.0999999999999999,0.0,13.333333333333334,2.5,81.93733333333333,8.536266666666663,47.26773333333333,34.2994,222.3384992458522,,,18.534313333333337,302.2016666666666,0.0,353.66,26.666656758780448,0.1202017110220368,0.0,93.33333333333333,85.33333333333333,0.0,90.0,10.0,,inf,0.0,0.0,0.0,0.0,2.1666666666666665,1.0999999999999999,0.0,86.66666666666667,13.333333333333334,0.0,0.8666666666666667,0.13333333333333333,0.0,0.25,1.1,0.0,False
16,16,19.5,500,20,0.3,0.39999999999999997,24.166666666666668,0.8333333333333334,117.271,30.763133333333325,14.488599999999998,0.8956833333333325,455.22291666666666,516.8895833333333,406.4173611111112,1.0886499999999986,701.8919611111111,748.27985,729.7880611111112,13.414543915883387,0.023777452333882263,0.02405077019762435,68.16666666666667,24.5,13.333333333333334,463.0,12.166666666666666,0.054749300700150494,0.027463767997525233,0.0024491896428741333,-0.0129760252613225,4.0,2.0,11.5,0.3,0.39999999999999997,475.8333333333333,11.0,13.166666666666666,0.9516666666666667,0.022,0.026333333333333334,0.04166666666666667,0.3,0.4,False
17,17,196.5,300,10,1.0999999999999999,0.049999999999999996,105.5,7.5,659.6544499999999,71.68804999999995,583.3930666666666,442.9014,225.4775259842704,207.3793652651544,363.03496582596875,60.453746071428576,252.92200000000003,243.38114814814818,375.8478333333333,57.21681661957059,0.12056587500200937,0.23673275267951452,296.0,277.0,284.3333333333333,294.0,0.0,0.0010451578924764319,0.00023570894028453207,0.009338313307910502,0.0,0.0,0.0,3.3333333333333335,1.0999999999999999,0.049999999999999996,194.5,35.833333333333336,69.66666666666667,0.6483333333333333,0.11944444444444445,0.23222222222222225,0.75,1.1,0.05,False
18,18,196.5,700,30,0.7000000000000001,0.049999999999999996,239.5,13.333333333333334,1475.9433499999998,640.2235,830.7639666666664,509.1943833333333,236.3415502981261,238.8106014901944,362.1945206854307,39.2895201481729,286.928373015873,266.2714761904761,391.30705555555556,36.48294665128315,0.11748824369276732,0.22503545176922723,693.0,582.6666666666666,621.3333333333334,630.3333333333334,20.333333333333332,0.003334448967365667,0.0003906246984356,0.006388012802368316,0.0,0.0,0.0,3.8333333333333335,0.7000000000000001,0.049999999999999996,460.5,86.5,153.0,0.6578571428571428,0.12357142857142857,0.21857142857142858,0.4444444444444445,0.7,0.05,True
19,19,196.5,700,30,0.9,0.09999999999999999,307.6666666666667,21.833333333333332,1837.3315333333333,459.2354666666666,1381.2834,1008.2129833333332,138.08901490862226,132.58128474308197,360.43868870639284,46.734018892441036,150.77980952380952,153.75657142857145,352.1315,48.08627917436092,0.1613201701311009,0.2890593510910256,700.0,696.0,696.0,694.0,3.0,0.0,0.0,0.010943287139352734,0.0018281883512700741,4.0,2.0,0.16666666666666666,0.9,0.09999999999999999,392.3333333333333,112.16666666666667,195.5,0.5604761904761905,0.16023809523809524,0.2792857142857143,0.7277777777777777,0.9,0.1,False
20,20,196.5,500,60,0.9,0.0,100.0,13.0,630.7303333333333,188.7214,442.6926000000001,324.6946833333334,126.55370105356667,,,25.15230084727364,185.67206666666664,0.0,353.7,27.235422297732523,0.2118668016092314,0.0,478.6666666666667,476.0,0.0,428.0,57.0,,inf,0.0020467903043010333,0.0,0.0,0.0,0.0,0.9,0.0,400.0,100.0,0.0,0.8,0.2,0.0,0.21666666666666667,0.9,0.0,False
