,fleet,fare,revenue,repl
185,15,0.6,20216.0,5
186,15,0.8,26621.0,5
187,15,1.0,21386.0,5
188,15,1.2,23525.0,5
189,15,1.4,18713.0,5
190,20,0.6,34621.0,5
191,20,0.8,28569.0,5
192,20,1.0,29727.0,5
193,20,1.2,29057.0,5
194,20,1.4,23863.0,5
195,25,0.6,30241.0,5
196,25,0.8,30126.0,5
197,25,1.0,27573.0,5
198,25,1.2,28776.0,5
199,25,1.4,27193.0,5
200,30,0.6,31460.0,5
201,30,0.8,34342.0,5
202,30,1.0,30580.0,5
203,30,1.2,30874.0,5
204,30,1.4,26927.0,5
205,40,0.6,39603.0,5
206,40,0.8,32556.0,5
207,40,1.0,34654.0,5
208,40,1.2,35682.0,5
209,40,1.4,34318.0,5
210,5,0.6,13532.0,6
211,5,0.8,11342.0,6
212,5,1.0,9663.0,6
213,5,1.2,13520.0,6
214,5,1.4,9328.0,6
215,10,0.6,18205.0,6
216,10,0.8,19047.0,6
217,10,1.0,16860.0,6
218,10,1.2,14252.0,6
219,10,1.4,16630.0,6
220,15,0.6,23679.0,6
221,15,0.8,22246.0,6
222,15,1.0,22863.0,6
223,15,1.2,24154.0,6
224,15,1.4,21586.0,6
225,20,0.6,30970.0,6
226,20,0.8,28287.0,6
227,20,1.0,21159.0,6
228,20,1.2,22925.0,6
229,20,1.4,25622.0,6
230,25,0.6,32480.0,6
231,25,0.8,33541.0,6
232,25,1.0,25369.0,6
233,25,1.2,27671.0,6
234,25,1.4,26915.0,6
235,30,0.6,32052.0,6
236,30,0.8,32688.0,6
237,30,1.0,36887.0,6
238,30,1.2,30828.0,6
239,30,1.4,25405.0,6
240,40,0.6,33730.0,6
241,40,0.8,37228.0,6
242,40,1.0,32103.0,6
243,40,1.2,31443.0,6
244,40,1.4,32682.0,6
245,5,0.6,12688.0,7
246,5,0.8,9355.0,7
247,5,1.0,12447.0,7
248,5,1.2,8301.0,7
249,5,1.4,9687.0,7
250,10,0.6,17018.0,7
251,10,0.8,20150.0,7
252,10,1.0,13576.0,7
253,10,1.2,19491.0,7
254,10,1.4,17890.0,7
255,15,0.6,23814.0,7
256,15,0.8,20171.0,7
257,15,1.0,21032.0,7
258,15,1.2,20722.0,7
259,15,1.4,23095.0,7
260,20,0.6,30914.0,7
261,20,0.8,26460.0,7
262,20,1.0,25376.0,7
263,20,1.2,25722.0,7
264,20,1.4,26878.0,7
265,25,0.6,29582.0,7
266,25,0.8,31230.0,7
267,25,1.0,30737.0,7
268,25,1.2,27724.0,7
269,25,1.4,30041.0,7
270,30,0.6,33129.0,7
271,30,0.8,27423.0,7
272,30,1.0,30950.0,7
273,30,1.2,33054.0,7
274,30,1.4,28159.0,7
275,40,0.6,36212.0,7
276,40,0.8,32526.0,7
277,40,1.0,31250.0,7
278,40,1.2,32301.0,7
279,40,1.4,33743.0,7
280,5,0.6,12228.0,8
281,5,0.8,11732.0,8
282,5,1.0,11703.0,8
283,5,1.2,9972.0,8
284,5,1.4,12117.0,8
285,10,0.6,17484.0,8
286,10,0.8,23449.0,8
287,10,1.0,16330.0,8
288,10,1.2,17206.0,8
289,10,1.4,18093.0,8
290,15,0.6,25044.0,8
291,15,0.8,23662.0,8
292,15,1.0,19816.0,8
293,15,1.2,23443.0,8
294,15,1.4,20622.0,8
295,20,0.6,31174.0,8
296,20,0.8,27673.0,8
297,20,1.0,26200.0,8
298,20,1.2,29739.0,8
299,20,1.4,27086.0,8
