,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,81.0,0.0,0.0,0.0,0.0,1469.0,178.0,0.0,2295.0,0.0,11179.0,0.0,2417.0,14971.0,0.0,0.0,0.0,0.0,66583.0,14971.0,0.0,11179.0,4890.0,35543.0,213.898,42.94949999999999,10
mean,8.1,0.0,0.0,0.0,0.0,146.9,17.8,0.0,229.5,0.0,1117.9,0.0,241.7,1497.1,0.0,0.0,0.0,0.0,6658.3,1497.1,0.0,1117.9,489.0,3554.3,21.3898,4.294949999999999,10
std,3.4785054261852175,0.0,0.0,0.0,0.0,83.04142206018498,5.921711464320654,0.0,103.05688828128969,0.0,457.5794891479391,0.0,103.2258042674731,762.0403095199973,0.0,0.0,0.0,0.0,2621.356690723336,762.0403095199973,0.0,457.5794891479391,141.9185995170784,2961.379372672284,9.093485883373388,2.4074967632376993,10
