,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,240.0,21775.0,1791.0,2418.0,9840.0,13909.0,54094.0,147247.0,820.0,0.0,0.0,0.0,0.0,0.0,21775.0,68003.0,3478.0,100
mean,2.4,217.75,17.91,24.18,98.4,139.09,540.94,1472.47,8.2,0.0,0.0,0.0,0.0,0.0,217.75,680.03,34.78,100
std,5.52679423766206,173.68992312146204,9.119958133875198,11.816253144877964,226.5985637441444,130.24848784480602,827.5613416185015,1093.694992429172,3.861229196653692,0.0,0.0,0.0,0.0,0.0,173.68992312146204,877.5482887516271,17.354055212636393,100
