,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,294.0,23181.0,1944.0,2570.0,7380.0,14357.0,34565.0,140583.0,870.0,0.0,0.0,0.0,0.0,0.0,23181.0,48922.0,3734.0,100
mean,2.94,231.81,19.44,25.7,73.8,143.57,345.65,1405.83,8.7,0.0,0.0,0.0,0.0,0.0,231.81,489.22,37.34,100
std,5.834103845216305,162.34647417411833,8.694965453779805,10.376254944182254,200.85815890822062,125.89551985353538,623.3786140578183,1094.583053823314,3.3799766898963113,0.0,0.0,0.0,0.0,0.0,162.34647417411833,628.0242802357697,15.933713701558476,100
