,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,87.0,0.0,0.0,0.0,0.0,1476.0,213.0,0.0,2273.0,0.0,12398.0,0.0,2601.0,15831.0,0.0,0.0,0.0,0.0,64335.0,15831.0,0.0,12398.0,5087.0,31019.0,227.572,46.9245,10
mean,8.7,0.0,0.0,0.0,0.0,147.6,21.3,0.0,227.3,0.0,1239.8,0.0,260.1,1583.1,0.0,0.0,0.0,0.0,6433.5,1583.1,0.0,1239.8,508.7,3101.9,22.7572,4.69245,10
std,3.3681514877517675,0.0,0.0,0.0,0.0,75.84955870376278,8.2334008094401,0.0,113.6300527540531,0.0,494.8932095805001,0.0,99.8003006007497,476.5725897838999,0.0,0.0,0.0,0.0,2466.376705930292,476.5725897838999,0.0,494.8932095805001,206.62206507964675,2580.7838365719654,7.709112253258046,1.7970592157744825,10
