,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,82.0,0.0,0.0,0.0,0.0,1506.0,180.0,0.0,2412.0,0.0,11480.0,3600.0,2460.0,15143.0,0.0,0.0,0.0,0.0,57090.0,15143.0,3600.0,11480.0,5052.0,21815.0,218.04700000000003,42.819900000000004,10
mean,8.2,0.0,0.0,0.0,0.0,150.6,18.0,0.0,241.2,0.0,1148.0,360.0,246.0,1514.3,0.0,0.0,0.0,0.0,5709.0,1514.3,360.0,1148.0,505.2,2181.5,21.804700000000004,4.28199,10
std,3.119829055146024,0.0,0.0,0.0,0.0,107.67048496841339,6.324555320336759,0.0,119.63351444214024,0.0,379.358522889481,1138.4199576606165,93.59487165438073,600.686283438461,0.0,0.0,0.0,0.0,3133.664769704776,600.686283438461,1138.4199576606165,379.358522889481,186.0596081307756,3643.7691794806838,8.112047666554014,1.67863874642521,10
