,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,37.0,0.0,0.0,0.0,0.0,998.0,80.0,0.0,936.0,0.0,4625.0,7200.0,1110.0,6073.0,0.0,0.0,0.0,0.0,22992.0,6073.0,7200.0,4625.0,2126.0,2968.0,90.604,20.8899,5
mean,7.4,0.0,0.0,0.0,0.0,199.6,16.0,0.0,187.2,0.0,925.0,1440.0,222.0,1214.6,0.0,0.0,0.0,0.0,4598.4,1214.6,1440.0,925.0,425.2,593.6,18.1208,4.17798,5
std,4.505552130427525,0.0,0.0,0.0,0.0,116.68890264288203,2.23606797749979,0.0,120.53090889892103,0.0,349.12247134780654,1971.801207018598,135.16656391282572,435.977981095376,0.0,0.0,0.0,0.0,4238.293677885004,435.977981095376,1971.801207018598,349.12247134780654,221.0626608000546,5830.567408065874,6.7732851851963245,2.1264101960816504,5
