,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,110.0,9966.0,822.0,1110.0,37515.0,6567.0,16310.0,182268.0,370.0,0.0,0.0,0.0,0.0,0.0,9966.0,22877.0,1590.0,100
mean,1.1,99.66,8.22,11.1,375.15,65.67,163.1,1822.68,3.7,0.0,0.0,0.0,0.0,0.0,99.66,228.77,15.9,100
std,3.8651512181794323,167.4534893966415,10.89303363706281,14.55709761281729,301.47738495012135,125.57255176819397,415.3474023591151,1019.9879765581711,4.8523658709390975,0.0,0.0,0.0,0.0,0.0,167.4534893966415,477.99591847714356,21.158134763411134,100
