,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,43.0,0.0,0.0,0.0,0.0,1018.0,81.0,0.0,870.0,0.0,5072.0,7200.0,1290.0,7452.0,0.0,0.0,0.0,0.0,22384.0,7452.0,7200.0,5072.0,2241.0,419.0,108.692,20.0466,5
mean,8.6,0.0,0.0,0.0,0.0,203.6,16.2,0.0,174.0,0.0,1014.4,1440.0,258.0,1490.4,0.0,0.0,0.0,0.0,4476.8,1490.4,1440.0,1014.4,448.2,83.8,21.7384,4.009320000000001,5
std,6.107372593840988,0.0,0.0,0.0,0.0,101.88375729231818,2.6832815729997477,0.0,144.8292097610147,0.0,605.9573417328979,1971.801207018598,183.22117781522965,791.4359102289964,0.0,0.0,0.0,0.0,4291.403698092269,791.4359102289964,1971.801207018598,605.9573417328979,311.6066430614084,6455.475791914954,13.506642136371275,2.2158841738683,5
