,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,111.0,11860.0,936.0,1290.0,33825.0,7589.0,20563.0,184183.0,430.0,0.0,0.0,0.0,0.0,0.0,11860.0,28152.0,1831.0,100
mean,1.11,118.6,9.36,12.9,338.25,75.89,205.63,1841.83,4.3,0.0,0.0,0.0,0.0,0.0,118.6,281.52,18.31,100
std,3.876619896015318,168.6710982769111,10.898540352642724,14.92709555868729,307.5,127.39907037067866,432.3165379555806,1005.9148914236627,4.97569851956243,0.0,0.0,0.0,0.0,0.0,168.6710982769111,505.5186851245966,21.50062014609501,100
