,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,118.0,10874.0,869.0,1170.0,36285.0,7116.0,16976.0,183592.0,380.0,0.0,0.0,0.0,0.0,0.0,10874.0,24092.0,1668.0,100
mean,1.18,108.74,8.69,11.7,362.85,71.16,169.76,1835.92,3.8,0.0,0.0,0.0,0.0,0.0,108.74,240.92,16.68,100
std,4.026126795034774,167.2158600085047,11.04691099014754,14.706213900005915,304.00130831058186,125.6629064625121,346.76741309972994,1014.4182955683708,4.878317312145634,0.0,0.0,0.0,0.0,0.0,167.2158600085047,413.5703054811329,21.334696926117623,100
