,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,45.0,0.0,0.0,0.0,0.0,537.0,75.0,0.0,1322.0,0.0,3719.0,3600.0,1350.0,6967.0,0.0,0.0,0.0,0.0,32552.0,6967.0,3600.0,3719.0,2747.0,15519.0,106.827,15.4089,5
mean,9.0,0.0,0.0,0.0,0.0,107.4,15.0,0.0,264.4,0.0,743.8,720.0,270.0,1393.4,0.0,0.0,0.0,0.0,6510.4,1393.4,720.0,743.8,549.4,3103.8,21.3654,3.0817799999999997,5
std,4.949747468305833,0.0,0.0,0.0,0.0,59.441567947018356,0.0,0.0,182.10244369584942,0.0,355.2881928800899,1609.9689437998486,148.49242404917499,663.0394407574862,0.0,0.0,0.0,0.0,3842.1249719393563,663.0394407574862,1609.9689437998486,355.2881928800899,299.1927472382979,6029.266763048388,10.434144181484172,1.3959932528490244,5
