,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,150.0,11583.0,1013.0,1343.0,94710.0,6459.0,23276.0,346567.0,450.0,0.0,0.0,0.0,0.0,0.0,11583.0,29735.0,1943.0,200
mean,0.75,57.915,5.065,6.715,473.55,32.295,116.38,1732.835,2.25,0.0,0.0,0.0,0.0,0.0,57.915,148.675,9.715,200
std,3.2773779199461806,130.43706110437992,9.602175999199243,12.503417623246314,259.4614590718988,85.54400539661727,373.04417349274394,1054.0986946511823,4.186302142480963,0.0,0.0,0.0,0.0,0.0,130.43706110437992,420.3151119597159,18.330132124962795,200
