,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,186.0,12262.0,945.0,1239.0,97170.0,8435.0,26092.0,341027.0,420.0,0.0,0.0,0.0,0.0,0.0,12262.0,34527.0,1845.0,200
mean,0.93,61.31,4.725,6.195,485.85,42.175,130.46,1705.135,2.1,0.0,0.0,0.0,0.0,0.0,61.31,172.635,9.225,200
std,3.5507943764061567,140.03870211642302,9.539622476016783,12.13520875210997,251.1231604383449,121.3087525375274,435.72292888229885,1053.523214071688,4.0833034217617055,0.0,0.0,0.0,0.0,0.0,140.03870211642302,490.7613424580794,18.193940539690928,200
