,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,42.0,0.0,0.0,0.0,0.0,497.0,87.0,0.0,1256.0,0.0,4402.0,0.0,1260.0,6521.0,0.0,0.0,0.0,0.0,39972.0,6521.0,0.0,4402.0,2603.0,26446.0,110.121,12.858900000000002,5
mean,8.4,0.0,0.0,0.0,0.0,99.4,17.4,0.0,251.2,0.0,880.4,0.0,252.0,1304.2,0.0,0.0,0.0,0.0,7994.4,1304.2,0.0,880.4,520.6,5289.2,22.0242,2.5717800000000004,5
std,3.4351128074635335,0.0,0.0,0.0,0.0,35.725341146026864,5.366563145999495,0.0,171.477986925436,0.0,544.5886521035854,0.0,103.05338422390601,437.35477589709706,0.0,0.0,0.0,0.0,981.6492754543244,437.35477589709706,0.0,544.5886521035854,225.3049045182994,1961.738947974475,8.679243037270014,1.0417003897474553,5
