,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,nP
sum,150.0,11452.0,915.0,1230.0,97170.0,7050.0,18838.0,347047.0,410.0,0.0,0.0,0.0,0.0,0.0,11452.0,25888.0,1790.0,200
mean,0.75,57.26,4.575,6.15,485.85,35.25,94.19,1735.235,2.05,0.0,0.0,0.0,0.0,0.0,57.26,129.44,8.95,200
std,3.2773779199461806,134.83543813435853,9.17142026889749,12.141440312595604,251.1231604383449,111.95623471902898,349.5403211081692,1050.9016323994838,4.047146770865201,0.0,0.0,0.0,0.0,0.0,134.83543813435853,394.19281612100326,17.909529761593603,200
