,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,41.0,0.0,0.0,0.0,0.0,497.0,75.0,0.0,955.0,0.0,4241.0,3600.0,1230.0,5891.0,0.0,0.0,0.0,0.0,31646.0,5891.0,3600.0,4241.0,2260.0,15654.0,99.393,13.3248,5
mean,8.2,0.0,0.0,0.0,0.0,99.4,15.0,0.0,191.0,0.0,848.2,720.0,246.0,1178.2,0.0,0.0,0.0,0.0,6329.2,1178.2,720.0,848.2,452.0,3130.8,19.8786,2.6649599999999998,5
std,4.764451699828638,0.0,0.0,0.0,0.0,67.53739704785787,0.0,0.0,74.78301946297702,0.0,543.3771250246002,1609.9689437998486,142.93355099485913,635.2493211330493,0.0,0.0,0.0,0.0,3678.6174984632476,635.2493211330493,1609.9689437998486,543.3771250246002,183.868159288116,4904.944719362288,8.134154983770594,1.4812332591459048,5
