,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1411.0,32352.0,2506.0,2993.0,32222.0,56788.0,100052.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,32352.0,89010.0,5384.0,100
mean,14.11,323.52,25.06,29.93,322.22,567.88,1000.52,9.8,0.0,0.0,0.0,0.0,0.0,0.0,323.52,890.1,53.84,100
std,3.357172331085501,163.52681675486681,7.512709769504482,0.7,1347.308724678928,928.0326566006024,1023.0839147233509,1.4070529413628972,0.0,0.0,0.0,0.0,0.0,0.0,163.52681675486681,1627.2978873400573,3.636848452529562,100
