,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,98.0,0.0,0.0,0.0,0.0,23007.0,908.0,0.0,4504.0,0.0,21123.0,0.0,2921.0,18686.0,0.0,0.0,0.0,0.0,144578.0,18686.0,0.0,21123.0,8333.0,96436.0,294.45300000000003,82.7073,20
mean,4.9,0.0,0.0,0.0,0.0,1150.35,45.4,0.0,225.2,0.0,1056.15,0.0,146.05,934.3,0.0,0.0,0.0,0.0,7228.9,934.3,0.0,1056.15,416.65,4821.8,14.722650000000002,4.135365,20
std,2.5526044491233284,0.0,0.0,0.0,0.0,584.6922964935893,24.286448463029096,0.0,154.93856167764318,0.0,2086.6751512494957,0.0,68.44473375612888,499.53505751269404,0.0,0.0,0.0,0.0,2002.41706313566,499.53505751269404,0.0,2086.6751512494957,203.15440718304572,4053.0052995147607,7.860475225187691,2.4259466085752783,20
