,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,98.0,0.0,0.0,0.0,0.0,23856.0,908.0,0.0,4469.0,0.0,20131.0,0.0,2940.0,18686.0,0.0,0.0,0.0,0.0,144737.0,18686.0,0.0,20131.0,8317.0,97603.0,294.4530000000001,84.76769999999999,20
mean,4.9,0.0,0.0,0.0,0.0,1192.8,45.4,0.0,223.45,0.0,1006.55,0.0,147.0,934.3,0.0,0.0,0.0,0.0,7236.85,934.3,0.0,1006.55,415.85,4880.15,14.722650000000005,4.238384999999999,20
std,2.381949665825522,0.0,0.0,0.0,0.0,562.8588305764553,20.126965415633457,0.0,146.4130692325834,0.0,2088.580139082152,0.0,63.15394724505808,483.75527740899383,0.0,0.0,0.0,0.0,2004.0982031564065,483.75527740899383,0.0,2088.580139082152,188.43574222362494,4044.706758936855,7.5635506092324825,2.341129030207209,20
