,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1411.0,32370.0,2506.0,2993.0,32919.0,56809.0,100052.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,32370.0,89728.0,5384.0,100
mean,14.11,323.7,25.06,29.93,329.19,568.09,1000.52,9.8,0.0,0.0,0.0,0.0,0.0,0.0,323.7,897.28,53.84,100
std,3.357172331085501,163.7561318151803,7.512709769504482,0.7,1346.171441308253,927.9562978977408,1023.0839147233509,1.4070529413628972,0.0,0.0,0.0,0.0,0.0,0.0,163.7561318151803,1624.5789265175295,3.636848452529562,100
