,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,98.0,0.0,0.0,0.0,0.0,23267.0,908.0,0.0,4723.0,0.0,20460.0,0.0,2946.0,18686.0,0.0,0.0,0.0,0.0,144737.0,18686.0,0.0,20460.0,8577.0,97014.0,294.453,84.76769999999999,20
mean,4.9,0.0,0.0,0.0,0.0,1163.35,45.4,0.0,236.15,0.0,1023.0,0.0,147.3,934.3,0.0,0.0,0.0,0.0,7236.85,934.3,0.0,1023.0,428.85,4850.7,14.722649999999998,4.238384999999999,20
std,2.3373399185263666,0.0,0.0,0.0,0.0,541.8677518789209,21.234034249909172,0.0,174.947894498544,0.0,2084.2449850952594,0.0,62.246623243860846,477.10520742009135,0.0,0.0,0.0,0.0,2004.0982031564063,477.10520742009135,0.0,2084.2449850952594,213.46693938529756,4044.832624212618,7.484394665076901,2.341129030207209,20
