,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1411.0,32107.0,2506.0,2993.0,32687.0,56887.0,100052.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,32107.0,89574.0,5384.0,100
mean,14.11,321.07,25.06,29.93,326.87,568.87,1000.52,9.8,0.0,0.0,0.0,0.0,0.0,0.0,321.07,895.74,53.84,100
std,3.357172331085501,160.29872712904464,7.512709769504482,0.7,1346.4316750791943,927.5460472655684,1023.0839147233509,1.4070529413628972,0.0,0.0,0.0,0.0,0.0,0.0,160.29872712904464,1622.4420776574843,3.636848452529562,100
