,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,200.0,0.0,0.0,0.0,0.0,10156.0,980.0,0.0,8616.0,0.0,24686.0,0.0,5922.0,30905.0,0.0,0.0,0.0,0.0,134715.0,30905.0,0.0,24686.0,15518.0,63606.0,523.7819999999999,92.88030000000002,20
mean,10.0,0.0,0.0,0.0,0.0,507.8,49.0,0.0,430.8,0.0,1234.3,0.0,296.1,1545.25,0.0,0.0,0.0,0.0,6735.75,1545.25,0.0,1234.3,775.9,3180.3,26.189099999999996,4.644015000000001,20
std,1.4867838833500564,0.0,0.0,0.0,0.0,158.31567399211914,20.047312459332428,0.0,169.6422241381146,0.0,214.987417012448,0.0,46.82992745310586,278.8836533489605,0.0,0.0,0.0,0.0,270.135224422296,278.8836533489605,0.0,214.987417012448,192.74878660277503,585.375821700537,6.223509120982098,3.3475588057843297,20
