,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,200.0,0.0,0.0,0.0,0.0,9834.0,966.0,0.0,8669.0,0.0,24845.0,0.0,5964.0,30905.0,0.0,0.0,0.0,0.0,134797.0,30905.0,0.0,24845.0,15599.0,63448.0,523.7819999999999,92.84069999999998,20
mean,10.0,0.0,0.0,0.0,0.0,491.7,48.3,0.0,433.45,0.0,1242.25,0.0,298.2,1545.25,0.0,0.0,0.0,0.0,6739.85,1545.25,0.0,1242.25,779.95,3172.4,26.189099999999996,4.642034999999999,20
std,1.4142135623730951,0.0,0.0,0.0,0.0,212.9826036879167,16.88069591980266,0.0,178.32568519425348,0.0,273.1638943160218,0.0,42.286740487446316,251.9782519855319,0.0,0.0,0.0,0.0,288.3875818554278,251.9782519855319,0.0,273.1638943160218,192.23792139183317,667.4077424909319,5.858446389166401,3.348559573320885,20
