,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1286.0,59451.0,4719.0,5816.0,32975.0,118334.0,255467.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,59451.0,151309.0,9102.0,200
mean,6.43,297.255,23.595,29.08,164.875,591.67,1277.335,10.0,0.0,0.0,0.0,0.0,0.0,0.0,297.255,756.545,45.51,200
std,7.189823908775234,187.50407694060078,7.1044592833334415,4.265509684002794,145.40395775097815,926.3771175496499,1155.2342983983724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.50407694060078,952.1335090576068,8.412714713112594,200
