,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,REVENUE,nV
sum,200.0,0.0,0.0,0.0,0.0,8700.0,785.0,0.0,6965.0,0.0,25230.0,0.0,5941.0,30905.0,0.0,0.0,0.0,0.0,137454.0,30905.0,0.0,25230.0,13691.0,67628.0,523.782,100.12710000000001,20
mean,10.0,0.0,0.0,0.0,0.0,435.0,39.25,0.0,348.25,0.0,1261.5,0.0,297.05,1545.25,0.0,0.0,0.0,0.0,6872.7,1545.25,0.0,1261.5,684.55,3381.4,26.189100000000003,5.006355000000001,20
std,2.5955427380922007,0.0,0.0,0.0,0.0,202.30227513875317,16.114312043384878,0.0,190.4708500974417,0.0,374.90862044531667,0.0,78.31143964292426,425.82858856834076,0.0,0.0,0.0,0.0,707.5141136773397,425.82858856834076,0.0,374.90862044531667,240.18117613256257,1431.7154010045726,8.491136176532624,3.114617091693362,20
