,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,nP
sum,1596.0,60246.0,4674.0,5913.0,31642.0,124275.0,244731.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,60246.0,155917.0,9509.0,200
mean,7.98,301.23,23.37,29.565,158.21,621.375,1223.655,10.0,0.0,0.0,0.0,0.0,0.0,0.0,301.23,779.585,47.545,200
std,7.29421881634377,198.60447069211324,7.926363364173038,3.1328659796153353,132.39527348893938,955.1159283342462,1140.7596411027366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.60447069211324,986.277149615802,7.884083259594682,200
